german;english;level;example;example_en;rank
freisetzen;to release|to liberate|to lay off;C1;Tom ist freigesetzt worden.;Tom was made redundant.;8786
der Fond;back|background|stock;C1;Der Fonds wurde zur Unterstützung von Waisen eingerichtet.;The fund was set up to help orphans.;8787
der Vorschein;view|light;C1;zum Vorschein bringen / holen;to bring to light, make visible or recognizable;8788
ledig;unmarried|never having been married|free|rid;C1;„Bist du ledig?“ – „Nein, ich bin verheiratet.“;"""Are you single?"" ""No, I'm married.""";8789
die Höhenangst;acrophobia|fear of heights;C1;Ich möchte mit der Seilbahn fahren, habe aber Höhenangst.;I'd like to ride the cable car, but I'm afraid of heights.;8790
die Befriedigung;satisfaction;C1;Sie blickte mit Befriedigung auf das Werk ihrer Hände.;She looked with satisfaction at her handiwork.;8791
die Sicherheitsvorkehrung;security measure|safeguard;C1;;;8792
das Wiesel;weasel;C1;Das Wiesel versucht, sich die Mäuse zu schnappen.;The weasel tries to grab the mice.;8793
obendrein;besides|additionally|also;C1;Sie hatte sich verlaufen, und dann begann es obendrein auch noch zu regnen.;She lost her way and on top of that it began to rain.;8794
der Demonstrant;demonstrator|protester;C1;Die Demonstranten hatten selbstgemachte Schilder und schwenkten Fahnen.;The protestors had homemade signs and were waving flags.;8795
anstiften;to incite|to encourage;C1;Es war ihre Idee. Sie hat mich dazu angestiftet.;It was her idea. She made me do it.;8796
ungemütlich;uncomfortable;C1;;;8797
der Transfer;transfer|also of travellers;C1;;;8798
die Milz;spleen;C1;Tom wurde die Milz entfernt.;Tom had a splenectomy.;8799
die Stute;mare|a young woman;C1;Ist Cookie ein Hengst oder eine Stute?;Is Cookie a colt or a filly?;8800
die Begnadigung;pardon;C1;;;8801
irritieren;to confuse|to disturb|to put off|to annoy;C1;Beim Aufschlag müssen die Zuschauer leise sein, um die Spieler nicht zu irritieren.;Tennis spectators must be silent during the service so as not to disturb the players.;8802
die Krankenversicherung;health insurance;C1;Es gibt allerlei Versicherungen, zum Beispiel: Krankenversicherung, Feuerversicherung, Lebensversicherung, usw.;There are many kinds of insurance such as: health insurance, fire insurance, life insurance, etc.;8803
der Umsatz;turnover|revenue|sales|conversion;C1;Mohn macht circa 20 Prozent unseres Umsatzes aus.;Poppies account for about 20 percent of our revenue.;8804
das Pflegeheim;care home|nursing home;C1;Herrchen Tom kam ins Pflegeheim, Hund Bello ins Tierheim.;Tom, the dog's owner, went into a care home: Bello, the dog, into kennels.;8805
der Abschuss;launch|firing|shootdown;C1;;;8806
der Kommunismus;communism;C1;Hammer und Sichel sind ein Symbol des Kommunismus.;The hammer and sickle are a symbol of communism.;8807
furchtlos;fearless;C1;Tom hat mir gesagt, dass er furchtlos sei.;Tom told me he's unafraid.;8808
die Pupille;pupil;C1;Die Pupillen der Augen ziehen sich im Sonnenlicht zusammen.;The pupils of the eyes contract in sunlight.;8809
der Moderator;moderator|host|presenter;C1;Die Moderatoren im Frühstücksfernsehen neigen dazu, unerträglich lebhaft zu sein.;Breakfast TV presenters tend to be unbearably perky.;8810
widerrufen;to revoke|to rescind|to cancel;C1;Tom musste widerrufen, oder ihm drohte die Exkommunikation.;Tom had to recant or face excommunication.;8811
der Absender;sender|return address;C1;Was für eine seltsame Nachricht! Es gibt weder Absender noch Empfänger.;What a strange message! There is no sender and no recipients either.;8812
die Polizeiwache;police station;C1;Ich suche die Polizeiwache. Können Sie mir helfen?;I'm looking for the police station. Can you help me?;8813
der Mietvertrag;lease agreement|rental agreement;C1;Haben Sie den Mietvertrag für die Wohnung unterschrieben?;Have you signed the lease for the apartment?;8814
austragen;to deliver sth|to stage|to hold|to execute;C1;Briefe austragen, die Post austragen, die Zeitung oder Brötchen austragen;to do a round and distribute e.g. letters, the newspaper, bakery, milk, etc., especially on a regular basis;8815
vergewissern;to make sure|to check|to make certain;C1;Tom vergewisserte sich, dass ihn niemand sehen konnte.;Tom made sure no one could see him.;8816
pingen;to ping;C1;;;8817
der Hochstapler;conman|con man|impostor;C1;Woher weiß ich, dass du kein Hochstapler bist?;How do I know you're not an imposter?;8818
das Mondlicht;moonlight;C1;Das Mondlicht spiegelte sich auf dem See wider.;The moonlight reflected on the lake.;8819
die Bushaltestelle;bus stop;C1;Könnten Sie mir den Weg zur Bushaltestelle zeigen?;Could you show me the way to the bus stop?;8820
der Konkurrent;competitor;C1;Er ist seinen Konkurrenten in allem überlegen.;He is superior to his competitors in everything.;8821
erstklassig;first-class|first-rate;C1;Wir haben keine Chance gegen diese erstklassigen Spieler.;We have no chance against those top players.;8822
injizieren;to inject;C1;Der Impfstoff wird nicht in die Blutbahn, sondern in den Muskel injiziert.;The vaccine is not injected into the bloodstream, but into the muscle.;8823
die Statistik;statistics|stats;C1;Die Statistik zeigt, dass unser Lebensstandard hoch ist.;The statistics show that our standard of living is high.;8824
die Belagerung;siege;C1;Die Belagerung dauerte nur drei Stunden.;The siege took only three hours.;8825
das Theaterstück;drama|piece|play;C1;Keine Theaterstücke begeistern mich außer denen von Plautus.;No plays delight me except those of Plautus.;8826
verkrampft;cramped|tense|inhibited;C1;Mein Atem beschleunigte sich und ich verkrampfte.;My breathing got faster and I became tense.;8827
die Trauerfeier;funeral ceremony|funeral service;C1;;;8828
die Turnhalle;gym|sports hall;C1;Tom wurde hinter der Turnhalle beim Rauchen erwischt.;Tom was caught smoking behind the gym.;8829
untergraben;to undermine|to subvert;C1;Diese Taten sind Machtmissbrauch und untergraben den Rechtsstaat wesentlich.;These actions are an abuse of power and fundamentally undermine the rule of law.;8830
krampfen;to cramp|to seize|to have a seizure|to have convulsions|to clench;C1;die Finger um etwas krampfen;to clench one's fingers around something;8831
die Abschlussfeier;closing ceremony;C1;Der Studentenausschuss diskutierte über die Pläne für die Abschlussfeier.;The student council discussed plans for the graduation.;8832
verkrampfen;to cramp;C1;Warum sind alle so verkrampft?;Why is everyone so tense?;8833
praktizieren;to bring into practice;C1;Jeder soll den Zweig praktizieren, den er kennt.;Let each one practice the branch which he knows.;8834
die Schusslinie;line of fire;C1;;;8835
das Dreieck;triangle;C1;Das Muster besteht aus lauter Dreiecken.;The pattern is made from a whole lot of triangles.;8836
sortieren;to sort;C1;Die Maschine sortiert die Briefe nach der Postleitzahl.;The machine sorts the letters by zip code.;8837
der Essig;vinegar|bad;C1;Der Salat wird mit Öl und Essig angemacht.;The salad is made with oil and vinegar.;8838
die Nachtigall;nightingale;C1;Ein Frosch kann nicht wie eine Nachtigall singen.;A frog cannot sing like a nightingale.;8839
der Weißwein;white wine );C1;Hier, ich habe uns eine Flasche Weißwein besorgt.;Here, I got us a bottle of white wine.;8840
der Dünger;fertilizer;C1;Die Ausscheidungen von Vögeln sind ein vorzüglicher Dünger.;Bird excrement is an excellent fertilizer.;8841
lausig;lousy;C1;Ich habe einen lausigen Tag hinter mir.;I've had a lousy day.;8842
die Tätigkeit;activity|job|operations;C1;Sie engagierte sich sehr in ihrer ehrenamtlichen Tätigkeit.;She was very involved in her volunteer activities.;8843
stressig;stressful;C1;Ich weiß, wie stressig so eine Situation sein kann.;I know how stressful that kind of situation can be.;8844
unterstellt;insinuated|assumed;C1;Tom hat nie getan, was ihr ihm unterstellt.;Tom never did what you said he did.;8845
der Nichtsnutz;goof-off|no good|wastrel|spalpeen|nogoodnik|ne'er-do-well;C1;Ich habe es satt, mit so vielen Nichtsnutzen zusammenzuarbeiten.;I'm sick of working with a bunch of good-for-nothings.;8846
angehängt;adhered|attached;C1;Er hat mir eine üble Erkältung angehängt.;He gave me a bad cold.;8847
die Starre;rigidity|stiffness;C1;Starre mich nicht so an.;Don't stare at me like that.;8848
das Wörterbuch;dictionary;C1;Ich habe das gleiche Wörterbuch wie dein Bruder.;I have the same dictionary as your brother has.;8849
die Taste;key|button;C1;Tom weiß nicht, welche Taste zu drücken ist.;Tom doesn't know which button to push.;8850
das Kästchen;square of a table|crossword puzzle|etc|box for ticking;C1;Tatoeba ist ein Kästchen voller wunderbarer Erlebnisse und Überraschungen!;Tatoeba is a box full of wonderful experiences and surprises!;8851
tasten;to feel with the hands|to fumble|to grope;C1;Takeo tastete nach der Eintrittskarte in seiner Hosentasche.;Takeo felt in his pocket for the ticket.;8852
der Dorn;thorn|bolt;C1;Ein Kaktus hat keine Stacheln, sondern Dornen, während eine Rose keine Dornen, sondern Stacheln hat.;A cactus has no spines, only thorns, while a rose has prickles but no thorns.;8853
die Hündin;female dog|bitch|she-dog|slut;C1;Wir haben drei Hunde: einen Rüden und zwei Hündinnen.;We have three dogs: one male and two female.;8854
der Chemiker;chemist;C1;Dmitri Mendelejew war ein russischer Chemiker.;Dmitri Mendeleev was a Russian chemist.;8855
unterlegen;to underlay|to put under|inferior|defeated;C1;Jungen sind Mädchen in der Sprachfertigkeit unterlegen.;Boys trail girls in language skills.;8856
gestrig;of yesterday|yesterday's|of the past|antiquated|outdated;C1;Seine gestrige Abwesenheit war bedingt durch seine Erkältung.;His absence yesterday was due to his cold.;8857
der Nachtrag;addendum;C1;;;8858
minderjährig;underage;C1;Du kannst nicht hereinkommen, weil du minderjährig bist.;Because you're a minor, you can't enter.;8859
sowjetisch;Soviet;C1;Die sowjetischen Truppen haben mit dem Rückzug aus Afghanistan begonnen.;The Soviet troops started to withdraw from Afghanistan.;8860
abartig;deviant|abnormal|disgusting|atrocious|insanely|as fuck;C1;Das ist echt abartig geil!;This is awesome as fuck!;8861
das Ablenkungsmanöver;diversionary tactic;C1;Ihr merkwürdiges Verhalten war nur ein Ablenkungsmanöver.;Her strange behaviour was just a diversionary tactic.;8862
rücksichtsvoll;considerate;C1;Sehr rücksichtsvoll von Ihnen, uns nicht zu stören.;You were considerate not to disturb us.;8863
der Anmarsch;approach;C1;Es ist eine Krise im Anmarsch.;A crisis is approaching.;8864
die Geldbörse;wallet|purse;C1;Ich muss meine Geldbörse im Supermarkt verloren haben.;I must have lost my purse in the supermarket.;8865
der Franken;franc;C1;Der Schweizer Franken ist an den Euro gekoppelt.;The Swiss franc is pegged to the euro.;8866
die Maxime;maxim;C1;;;8867
die Göre;cheeky young child|brat;C1;Seine Kinder sind allesamt verzogene Gören.;His children are all spoilt brats.;8868
die Richtlinie;directive|guideline|policy;C1;Es haben sich schon viele über die Richtlinie beschwert.;There have been a lot of complaints about that policy.;8869
beanspruchen;to claim|to require|to demand;C1;Der Tisch beansprucht in diesem Zimmer viel Platz.;The table takes up a lot of space in this room.;8870
der Blickwinkel;perspective|angle|point of view;C1;Man kann diese Frage aus verschiedenen Blickwinkeln beantworten.;This question can be answered from various angles.;8871
der Franke;Franconian , northern Bavaria)|Frank|Franconian;C1;Der Schweizer Franken befindet sich im Aufwind.;The Swiss Franc is soaring.;8872
üblicherweise;generally|usually|normally;C1;Die Dinge dauern üblicherweise länger, als man erwartet.;Things usually take longer than you expect.;8873
der Deckname;code name|alias;C1;„Unternehmen Seelöwe“ war der deutsche Deckname für die geplante Invasion Großbritanniens.;Operation Sea Lion was the German code name for the planned invasion of Britain.;8874
der Cutter;film editor|utility knife|box cutter|Stanley knife;C1;;;8875
die Untreue;unfaithfulness|disloyalty;C1;Sie warnt mich vor seiner Untreue.;She's warning me about his infidelity.;8876
der Langweiler;a bore|boring person;C1;Tom ist der größte Langweiler, den ich kenne.;Tom is the most boring person I know.;8877
die Letzt;only in fixed expressions;C1;Zu guter Letzt verstand er endlich diese Theorie.;At long last, he understood the theory.;8878
der Milliardär;billionaire;C1;Tom ist eigentlich nicht nur Millionär, sondern Milliardär.;Actually, Tom is a billionaire, not a millionaire.;8879
der Dietrich;picklock;C1;Maria brach mit einem Dietrich in Toms Zimmer ein.;Mary broke into Tom's room using a lockpick.;8880
hebräisch;Hebrew;C1;In der hebräischen Bibel kommen keine Christen vor.;There are no Christians in the Hebrew Bible.;8881
die Auflösung;resolution|dissolution|disbandment|abolishment;C1;die Auflösung der Dominante in die Tonika;the resolution of the dominant to the tonic;8882
die Ambulanz;ambulance|outpatient department;C1;Diese Klinik hat nicht einmal eine Ambulanz.;This clinic doesn't even have an ambulance.;8883
ereignen;to occur|to happen;C1;Es hat sich wie folgt ereignet.;It happened as follows.;8884
besichtigen;to visit|to have a look around|to view;C1;Kyoto wird jedes Jahr von vielen Menschen besichtigt.;Kyoto is visited by many people every year.;8885
die Ramme;ram|battering ram|pile driver;C1;;;8886
der Abwasch;washing-up|dishwashing|sitting|effort;C1;Maria ist mit dem Abwasch an der Reihe.;It's Mary's turn to wash the dishes.;8887
die Abwasch;kitchen sink;C1;Er war bereit, ihr beim Abwasch zu helfen.;He was ready to help her with dish-washing.;8888
der Koran;Qur'an;C1;Die Heilige Schrift der Moslems ist der Koran.;The holy book of Muslims is the Qur'an.;8889
makellos;flawless|immaculate;C1;Tom verblüffte uns mit seinem makellosen Französisch.;Tom's flawless French astonished us.;8890
lau;mild|cushy|easy;C1;Es war eine laue Sommernacht.;It was a mild summer night. [i.e. one that is warm, but bringing welcome cooling after a hot day];8891
toben;to rage|to riot|to clamor|to romp|to frolic;C1;Das Publikum tobte bei der Aufführung.;The audience went wild at the performance;8892
das Rindfleisch;beef|a surname;C1;Dieses Rindfleisch kostet vier Dollar pro 0,45 Kilogramm.;This beef is four dollars per pound.;8893
die Leukämie;leukemia;C1;Bei meinem Onkel wurde Leukämie diagnostiziert.;My uncle has been diagnosed with leukemia.;8894
verschleppen;to abduct|to protract;C1;Sein Schwächeanfall vorhin wurde vermutlich durch eine verschleppte Erkältung verursacht.;His weak spell a little while ago was probably caused by that cold he's neglecting.;8895
der Hochverrat;high treason;C1;In manchen Ländern wird Hochverrat mit lebenslanger Haft bestraft.;In some countries, the punishment for treason can be life in prison.;8896
killen;to kill|to shiver;C1;Maria hat einen wichtigen NSC gekillt, so daß das Spiel nicht mehr weitergehen konnte.;Mary killed an important NPC and as a result, broke the game.;8897
die Ablehnung;rejection;C1;Mary presste aus Ablehnung die Lippen zusammen.;Mary pursed her lips in disapproval.;8898
hegen;to cherish|to harbor|to have|to hold;C1;Tom gab zu, Gefühle für sie zu hegen.;Tom admitted that he had feelings for her.;8899
folgendermaßen;thus|as follows;C1;Okay Jungs, wir machen es folgendermaßen: Zuerst lenkt einer den Wachmann ab...;Okay, boys, we'll do it as follows: First, one of us will distract the guard...;8900
helllicht;bright;C1;Eine Dreierbande raubte die Bank am helllichten Tage aus.;A gang of three robbed the bank in broad daylight.;8901
der Sportwagen;a sports car|a pushchair / stroller;C1;Tom fuhr Maria in seinem Sportwagen nach Hause.;Tom drove Mary home in his sports car.;8902
drängeln;to push|to jostle|to tailgate;C1;Die Leute drängeln sich im Zug.;People are pushing in the train;8903
krauchen;to creep|to crawl;C1;Sobald Jim nach Hause kam, kroch er ins Bett.;As soon as Jim got home, he crawled into bed.;8904
abwischen;to wipe off|to wipe away;C1;Ich sah Tom seine Fingerabdrücke vom Türknauf abwischen.;I saw Tom wiping his fingerprints off the doorknob.;8905
die Überlegung;consideration;C1;Ich begann gerade, mir dieselbe Überlegung zu machen.;I've just begun to make the same observation.;8906
schmücken;to adorn|to decorate;C1;Maria half ihrer Mutter, den Christbaum zu schmücken.;Mary helped her mother decorate the Christmas tree.;8907
der Gläubiger;creditor|believer;C1;Ein Organist begleitet den Gesang der Gläubigen.;An organist accompanied the song of the believers.;8908
das Curry|der Curry;curry|curry powder;C1;Ich habe gestern Abend Curry mit Reis gegessen.;I had curry and rice last night.;8909
verschollen;missing|lost|declared dead in absentia|presumed dead;C1;Das verschollene Fischerboot kehrte unversehrt in den Hafen zurück.;The fishing boat that had been missing returned to its port safely.;8910
gläubig;faithful|believing|trustful|confiding|confident;C1;Gläubiger haben ein besseres Gedächtnis als Schuldner.;Creditors have better memories than debtors.;8911
das Statement;statement|command;C1;Der Premierminister wird morgen ein Statement herausgeben.;The prime minister is to make a statement tomorrow.;8912
die Gläubige;believer;C1;Seine Gläubiger sind hinter ihm her.;His creditors are after him.;8913
der Weber;weaver|webster|weaver species);C1;Laurent Weber ist der Erzbischof von Portland.;Laurent Weber is the archbishop of Portland.;8914
der Schutt;rubbish|rubble;C1;Die Soldaten legten die Stadt in Schutt und Asche.;The soldiers reduced the town to rubble.;8915
die Hypothese;hypothesis;C1;Ich denke, Sie lagen richtig mit Ihrer Hypothese.;I think your hypothesis was correct.;8916
der Hexer;warlock;C1;Geralt ist ein Hexer.;Geralt is a witcher.;8917
das Kryptonit;kryptonite;C1;Spinat ist mein Kryptonit.;Spinach is my kryptonite.;8918
strafbar;liable to criminal prosecution|criminal|criminally punishable;C1;Einbruch ist eine strafbare Handlung.;Burglary is a criminal offence.;8919
ausrüsten;to equip|to supply;C1;Kannst du mich mit allem ausrüsten, was ich brauche?;Can you supply me with all I need?;8920
lebenslang;lifelong;C1;Der Mörder wurde zu einer lebenslangen Freiheitsstrafe verurteilt.;The killer was sentenced to life in prison.;8921
das Schachmatt;checkmate|definite defeat;C1;Tom opferte seinen Turm, um ein Schachmatt zu vermeiden.;Tom sacrificed his rook to avoid mate.;8922
das Festmahl;feast|banquet;C1;Tom war zum Festmahl nicht eingeladen.;Tom wasn't invited to the banquet.;8923
knistern;to sizzle|to crackle|to creak;C1;Das Feuer knisterte fröhlich vor sich hin.;The fire was crackling cheerily.;8924
schachmatt;checkmated;C1;Tom setzte Maria in zehn Zügen schachmatt.;Tom checkmated Mary on the tenth move.;8925
zurückhaltend;reserved|restrained|cautious|guarded|cautiously;C1;Tom ist ein schüchterner und zurückhaltender junger Mann.;Tom is a shy and reserved young man.;8926
sommers;summers;C1;Sommers war das kein Problem.;That wasn't a problem in the summer.;8927
ausgerüstet;equipped|mounted;C1;Das Schiff war mit einer Radaranlage ausgerüstet.;The boat was equipped with radar.;8928
das Knistern;crackle;C1;Tom lauschte dem Knistern des Feuers.;Tom listened to the fire crackling.;8929
der Terminkalender;appointment diary;C1;Lassen Sie mich mal auf meinen Terminkalender sehen.;Let me check my schedule.;8930
wegsperren;to lock away;C1;;;8931
der Polizeibericht;police report;C1;;;8932
der Bestandteil;component|element|ingredient;C1;Der Tod ist ein fester Bestandteil des Lebens.;Death is an integral part of life.;8933
die Saat;seed|sowing|crop;C1;Seine Unentschlossenheit war die Saat für künftigen Ärger.;His indecision sowed the seeds of future trouble.;8934
der Aberglaube;superstition;C1;Man glaubt noch immer an eine Menge Aberglaube.;Lots of superstitions are still believed in.;8935
erfreulich;pleasant|pleasing;C1;Ein Sommerregen ist erfreulich, ein Regensommer ist abscheulich.;A summer rain is pleasant, a rainy summer is hideous.;8936
das Porzellan;porcelain;C1;Er hat ein Buch über Porzellan geschrieben.;He wrote a book on china.;8937
entladen;to unload|to discharge|to drain;C1;Tom hat Mary geholfen, das Auto zu entladen.;Tom helped Mary unload the car.;8938
der Appell;parade|muster|appeal|roll call;C1;;;8939
beschwören;to conjure|to swear to|to evoke|to summon;C1;Ärger soll man nicht auch noch beschwören!;Don't meet trouble halfway!;8940
demütigend;humiliating;C1;Sie erlitten eine demütigende Niederlage;They suffered a humiliating defeat.;8941
handhaben;to handle|to wield|to employ|to go about|to deal with;C1;Wie willst du die Sache handhaben?;How do you want to go about this matter?;8942
grandios;grandiose;C1;Vom Gipfel aus hatten wir eine grandiose Fernsicht.;We had a magnificent view from the summit.;8943
die Handhabe;handle|hold|action;C1;;;8944
divers;different|various|miscellaneous|diverse|varying|non-binary;C1;Tom ist diverse Male in Boston gewesen.;Tom has been to Boston many times.;8945
die Laufbahn;track|career;C1;Er setzte seiner dichterischen Laufbahn ein jähes Ende.;He put a sudden end to this career as a poet.;8946
der Kleiderschrank;wardrobe;C1;Alles, was in diesem Kleiderschrank hängt, kann wegkommen.;Everything hanging in this wardrobe can go.;8947
die Kante;edge|border|ledge|rim|brink|tram platform;C1;Jeden Freitagabend gaben sie sich die Kante.;Every Friday night they went and got liquored up.;8948
das Schlagzeug;drum set|drum kit|drums|percussion;C1;Es gefällt mir nicht, wie Tom Schlagzeug spielt.;I don't like the way Tom plays the drums.;8949
das Diverses;miscellaneous;C1;;;8950
der Gesetzeshüter;law enforcement officer;C1;;;8951
vorschreiben;to prescribe|to dictate|to command;C1;Ein Mundschutz ist im öffentlichen Verkehr zwingend vorgeschrieben.;Face masks are mandatory on public transport.;8952
die Vorsichtsmaßnahme;precaution;C1;Das ist nur eine Vorsichtsmaßnahme.;It's just a precaution.;8953
die Zusage;commitment|pledge|undertaking|covenant;C1;Tom hat seine Zusage anscheinend nicht eingehalten.;Tom apparently didn't do what he said he would do.;8954
diesbezüglich;referring to this|in this regard|relevant;C1;Ich bin mir diesbezüglich selbst nicht allzu sicher.;I'm not too certain about it myself.;8955
das Rippchen;chop;C1;Tom mag kein fettiges Essen wie zum Beispiel Rippchen.;Tom doesn't like greasy food such as spareribs.;8956
das Gebrüll;the act of roaring|shouting|the sound of roars|shouts;C1;Ich konnte das Gebrüll bis nach draußen hören.;I could hear the shouts even from outside.;8957
gültig;valid|validated|legal|available;C1;Für den Eintritt ist ein gültiger Personalausweis erforderlich.;A valid ID card is required to enter.;8958
das Klopapier;toilet paper;C1;Ich tauschte alte Zeitungen gegen Klopapier ein.;I traded old newspapers for toilet paper.;8959
der Talib;Taliban;C1;Tom ist von den Taliban geköpft worden.;Tom was beheaded by the Taliban.;8960
teils;partly|partially;C1;Auch heute wieder Schauerwetter mit Gewittern, teils mit Graupel und Schnee vermischt.;Today will be another showery, stormy day, with hail and snow mixed in at times.;8961
nachforschen;to investigate|to inquire;C1;Ich habe etwas nachgeforscht.;I did some research.;8962
versohlen;to spank;C1;Wenn ich als Kind etwas falsch machte, bekam ich den Hintern versohlt.;When I was a child, I was spanked if I did something wrong.;8963
der Kraut;a German;C1;Gegen den Tod ist kein Kraut gewachsen.;There's no cure for death.;8964
der Veteran;veteran|vintage car;C1;Mein Onkel ist ein Veteran aus dem Vietnamkrieg.;My uncle is a veteran of the Vietnam War.;8965
der Zaum;bridle;C1;Sie kann ihre Kinder nicht im Zaum halten.;She cannot control her children.;8966
lebhaft;lively|active|buoyant or agile|brisk|allegro;C1;Mein Großvater ist ein lebhafter und wohlgelaunter Mann.;My grandpa is a lively and good-humoured man.;8967
lüften;to air|to ventilate|to lift|to take off|to unveil|to reveal;C1;Er hat das Zimmer gründlich gelüftet.;He thoroughly ventilated the room.;8968
sarkastisch;sarcastic;C1;Durch Kopfschmerzen war Marilla immer etwas sarkastisch gestimmt.;Headaches always left Marilla somewhat sarcastic.;8969
vorrücken;to proceed|to advance;C1;Er begann erst, seine Bauern vorzurücken, als seine Figuren ihre stärksten Stellungen besetzt hatten.;He began advancing his pawns only when his pieces had occupied their strongest possible positions.;8970
das Immunsystem;immune system;C1;Dabei ist bekannt, dass das Immunsystem größtenteils im Darm sitzt und nach Antibiose stark beeinträchtigt ist.;It is known that the immune system is largely located in the intestine and is severely impaired after antibiosis.;8971
die Einmischung;interference|intervention;C1;;;8972
authentisch;authentic;C1;In diesem Restaurant gibt es authentische französische Küche.;This restaurant serves authentic French cuisine.;8973
zuweisen;to assign|to allocate|to appropriate|to refer;C1;Du kannst mir nicht die ganze Schuld zuweisen!;You cannot put the entire blame on me!;8974
das Schuljahr;academic year|school year;C1;In Japan beginnt das neue Schuljahr im April.;In Japan a new school year starts in April.;8975
weiterreden;to continue speaking;C1;Ich wollte noch etwas weiterreden, doch sie hat aufgelegt.;I wanted to talk some more, but she hung up.;8976
weiterführen;to continue;C1;Ich sehe keinen Grund, diese Diskussion weiterzuführen.;I see no reason to continue this discussion.;8977
das Diesel;Coke mixed with beer;C1;Der Dieselmotor wurde von Rudolf Diesel erfunden.;The diesel engine was invented by Rudolf Diesel.;8978
das Bankett;banquet|verge;C1;Sie trug zum Bankett ein brillantenes Diadem.;She was wearing a sparkling tiara.;8979
das Sanatorium;sanatorium|sanitorium|sanitarium;C1;Tuberkulosepatienten wurden in ein besonderes Krankenhaus gebracht, das man als Sanatorium bezeichnete.;Tuberculosis patients were sent to a special hospital called a sanatorium.;8980
überführt;transferred|transformed|converted|convicted;C1;Tom wurde des Mordes an Maria überführt.;Tom was convicted of killing Mary.;8981
bereinigen;to settle|to rectify|to revise|to adjust;C1;Es wird ewig dauern, dieses Chaos zu bereinigen.;It'll take forever to clean up this mess.;8982
der Nachlass;estate|heritage|discount;C1;Gibt es einen Nachlass, wenn ich bar bezahle?;Will you give any discount if I pay in cash?;8983
der Romantiker;romantic|romanticist;C1;Ich wusste gar nicht, dass du ein Romantiker bist.;I didn't know you were a romantic.;8984
allererste;very first;C1;Das mache ich morgen früh gleich als allererstes.;I'll do it first thing in the morning.;8985
der Ehebruch;adultery;C1;Er wurde wegen Ehebruchs zu dreißig Peitschenhieben verurteilt.;He was sentenced to thirty lashes for committing adultery.;8986
der Dolmetscher;interpreter;C1;Ich studiere, um Übersetzer oder Dolmetscher zu werden.;I am studying to be a translator or interpreter.;8987
christlich;Christian|fair|acceptable;C1;20 Euro Buße sind ja noch christlich. Letztes Mal musste ich das Dreifache zahlen.;20-euro fines are okay after all. Last time I had to pay three times as much.;8988
gleiten;to glide|to float|to move effortlessly|to slide|to slip|to transition smoothly;C1;Sie ließ ihre Augen über seinen Brief gleiten.;She ran her eyes over the letter from him.;8989
die Flosse;fin|flipper|hand;C1;Haie werden wegen ihrer Flossen getötet.;Sharks are killed for their fins.;8990
der Waschbär;raccoon;C1;Der Film handelte von einem sprechenden Waschbären.;It was a movie about a talking raccoon.;8991
verspotten;to make fun of|to mock|to ridicule;C1;Er verspottet ihre Auswahl, aber bietet nie eine Alternative.;He derides her choices, but never offers alternatives.;8992
der Regenschirm;umbrella;C1;Ich habe deinen Regenschirm im Bus liegen lassen.;I left your umbrella on the bus.;8993
die Drehung;rotation|turn;C1;;;8994
das Spektakel;spectacle;C1;Der Film war ein Spektakel der Spezialeffekte.;The film was a special-effects extravaganza.;8995
der Spektakel;row;C1;Mein Gott, was für ein Spektakel!;My God, what a spectacle!;8996
der Kurzschluss;short circuit|false conclusion;C1;Wegen eines Kurzschlusses saßen wir plötzlich im Dunkeln.;Because of a short circuit, we were suddenly in the dark.;8997
die Begründung;reason|rationale|grounds|explanation|justification;C1;Er hatte für seinen Vorschlag eine gute Begründung.;He had a sound rationale for his suggestion.;8998
telefonisch;telephonic|by using a telephone;C1;telefonisch zu erreichen sein;to be reachable by telephone;8999
assistieren;to assist;C1;Ich möchte, daß ihr mir assistiert.;I'd like you to assist me.;9000
wegbleiben;to stay away;C1;Bleibt vom Hund weg!;Stay away from the dog.;9001
die Sichtweise;view|viewpoint|perspective|way of thinking|standpoint;C1;Reiche und arme Menschen haben eine andere Sichtweise.;People look at things differently depending on whether they are rich or poor.;9002
durchsehen;to look through|to review|to revise|to inspect;C1;Ich habe Ihren Bericht durchgesehen und einige Anmerkungen gemacht.;I've looked through your report and made some notes on it.;9003
eitel;vain|void|futile;C1;Er ist so eitel, dass er kaum mal zwanzig Minuten nicht in den Spiegel gucken kann.;He’s so vain that he can barely go twenty minutes without looking into a mirror.;9004
schimpfen;to tell off|to scold|to yell at|to complain|to grouse|to bitch;C1;Er hat keine Ahnung von der Materie - und so jemand schimpft sich Experte!;He is clueless in that field - and someone like that calls himself an expert!;9005
der Hackbraten;meatloaf;C1;Wir haben Hackbraten gegessen.;We ate meatloaves.;9006
vorhersagen;to forecast|to predict;C1;Dieses Jahr wird eine Inflation von 4% vorhergesagt.;Four percent inflation is forecast for this year.;9007
die Teilnahme;participation;C1;Wir bitten um Ihre Teilnahme an der Sitzung.;We request your attendance at the meeting.;9008
unberührt;untouched|pristine;C1;Der größte Teil des Amazonas-Dschungels ist noch unberührt.;Most of the Amazon jungle is still wild.;9009
aufschlagen;to pitch|to serve|to set up|to pitch up|to break|to crack;C1;Kannst du mit einer Hand ein Ei aufschlagen?;Can you break an egg with one hand?;9010
die Injektion;injection;C1;Der Arzt verabreicht eine Injektion.;The doctor is administering an injection.;9011
